epoch,step,loss,acc,f1
1,100,0.004011,0.748828,0.751294
1,200,0.001408,0.901055,0.900978
1,300,0.001158,0.912773,0.912755
1,400,0.001059,0.920312,0.920252
1,500,0.001043,0.920391,0.920475
1,600,0.000957,0.926172,0.926171
1,700,0.000903,0.928086,0.927817
1,703,0.001009,0.936198,0.936369
2,100,0.000745,0.940352,0.940497
2,200,0.000741,0.940937,0.940825
2,300,0.00073,0.942148,0.941972
2,400,0.000691,0.944844,0.945051
2,500,0.000709,0.943203,0.943246
2,600,0.000726,0.940625,0.940611
2,700,0.000677,0.944961,0.944662
2,703,0.000578,0.946615,0.947284
