epoch,step,loss,acc,f1
1,100,0.003906,0.766641,0.768496
1,200,0.001432,0.897578,0.897307
1,300,0.00119,0.910586,0.910716
1,400,0.00109,0.9175,0.917596
1,500,0.000993,0.924258,0.924244
1,600,0.000946,0.925039,0.925035
1,700,0.000905,0.929102,0.928821
1,703,0.000796,0.94401,0.944653
2,100,0.000753,0.939883,0.939921
2,200,0.000749,0.940625,0.940629
2,300,0.000729,0.939883,0.940155
2,400,0.000717,0.941367,0.9411
2,500,0.000747,0.940312,0.940014
2,600,0.0007,0.942031,0.942178
2,700,0.000663,0.945977,0.945862
2,703,0.000678,0.938802,0.937444
3,100,0.000582,0.95293,0.952911
3,200,0.00057,0.952617,0.952604
3,300,0.000561,0.954688,0.954794
3,400,0.000564,0.95457,0.954829
3,500,0.00057,0.953555,0.953704
3,600,0.000547,0.955977,0.955662
3,700,0.000546,0.955547,0.955167
3,703,0.000428,0.964844,0.964989
