,预测: finance,预测: realty,预测: stocks,预测: education,预测: science,预测: society,预测: politics,预测: sports,预测: game,预测: entertainment
真实: finance,799,17,114,3,26,12,17,2,2,8
真实: realty,24,879,27,6,10,15,5,5,5,24
真实: stocks,102,26,740,4,59,3,53,5,7,1
真实: education,0,4,6,931,8,18,7,1,7,18
真实: science,9,12,72,11,741,29,30,8,54,34
真实: society,1,17,4,28,15,847,50,0,5,33
真实: politics,7,8,36,25,16,61,819,4,7,17
真实: sports,0,3,3,2,4,11,15,909,2,51
真实: game,5,5,9,6,89,11,5,2,838,30
真实: entertainment,1,7,0,13,30,40,10,9,26,864
